都道府県,医師数,平均寿命
北海道,254.1,84
青　森,220.2,82.8
岩　手,218.4,83.85
宮　城,256.3,84.61
秋　田,249.8,83.79
山　形,239.6,84.39
福　島,218.6,83.71
茨　城,202,83.92
栃　木,248.5,83.95
群　馬,233.4,84.16
埼　玉,180.2,84.38
千　葉,209,84.48
東　京,324.6,84.82
神奈川,223,84.97
新　潟,212.7,84.43
富　山,270.6,84.86
石　川,286.5,85.06
福　井,271.2,84.91
山　梨,257.8,84.83
長　野,249.8,85.46
岐　阜,231.5,84.71
静　岡,230,84.54
愛　知,234.7,84.65
三　重,241.2,84.64
滋　賀,242.2,85.5
京　都,334.3,85.25
大　阪,288.5,84.09
兵　庫,276.5,84.81
奈　良,286.7,85.18
和歌山,320.9,84.2
鳥　取,319.9,84.63
島　根,307.6,84.92
岡　山,323.9,85.1
広　島,272.7,85.06
山　口,267.2,84.28
徳　島,335.7,84.35
香　川,290.4,84.6
愛　媛,286.2,84.24
高　知,335.2,84.32
福　岡,312.1,84.54
佐　賀,293.6,84.6
長　崎,327.6,84.21
熊　本,302.2,85.07
大　分,297.9,84.94
宮　崎,260.9,84.38
鹿児島,288.6,84.24
沖　縄,266.1,84.31
